method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,2,2,3202,tied,0.1133427604405015,11925.860243011513,2.8448356136259076,-9036893.123183284,-9028569.283711076,4,True,1.0,0.0,"[38575, 80815]"
gmm,2,3,3203,tied,0.17293367344944452,14327.40760953403,1.8599713330505216,-8826271.885869477,-8817948.046397269,7,True,0.979350456217163,0.024005360582963396,"[16091, 103299]"
gmm,2,4,3204,tied,0.17365756700642793,14187.624261046209,1.8641652579059653,-8826774.009416869,-8818450.16994466,8,True,0.9797839896184568,0.02426501382025295,"[103445, 15945]"
gmm,2,5,3205,tied,0.10792200231143066,11749.05504913259,2.963395089738159,-10179724.141721092,-10171400.302248884,5,True,1.0,0.0,"[44030, 75360]"
gmm,3,1,3301,tied,0.12224628673884806,12388.911381635038,2.3603153759174056,-9070121.80386346,-9061410.35836228,9,True,0.9791759496861077,0.028277075131920595,"[38575, 70054, 10761]"
gmm,3,2,3302,tied,0.12224453171842424,12388.709156378705,2.3603066243826247,-9070122.381851792,-9061410.936350612,9,True,0.979177093592646,0.028277075131920595,"[70055, 38575, 10760]"
gmm,3,3,3303,tied,0.12179146634228318,6516.0657617317565,2.6577659045415403,-10226283.815518579,-10217572.370017398,33,True,1.0,0.0,"[19076, 96276, 4038]"
gmm,3,4,3304,tied,0.09861168271580323,7043.930363232059,2.732200803750615,-10346475.719616221,-10337764.27411504,8,True,1.0,0.0,"[2590, 56477, 60323]"
gmm,3,5,3305,tied,0.12223799506129154,12387.046622434465,2.36030357828025,-9070129.42142038,-9061417.9759192,9,True,0.9791906001211503,0.028285451042800905,"[38575, 70059, 10756]"
gmm,4,1,3401,tied,0.11464423668670076,8270.684155003622,2.4088928965901677,-10914598.392026592,-10905499.340496438,9,True,0.999999999999644,0.0,"[46336, 14587, 2046, 56421]"
gmm,4,2,3402,tied,0.12454202396794843,9197.20939788755,2.3855398462899067,-10456330.855034433,-10447231.803504279,8,True,1.0,0.0,"[19076, 56329, 2552, 41433]"
gmm,4,3,3403,tied,0.12454202396794843,9197.20939788755,2.3855398462899067,-10456330.855034579,-10447231.803504424,8,True,1.0,0.0,"[41433, 2552, 56329, 19076]"
gmm,4,4,3404,tied,0.12960938709322292,8212.947880927353,2.4098122745283175,-11679091.328052515,-11669992.27652236,17,True,0.9999944016371957,0.0,"[16599, 4076, 73593, 25122]"
gmm,4,5,3405,tied,0.12454202396794843,9197.209397887551,2.3855398462899067,-10456330.855029412,-10447231.803499257,8,True,1.0,0.0,"[56329, 2552, 19076, 41433]"
gmm,5,1,3501,tied,0.1543384108178738,10698.048302664292,2.2008167399265424,-10775460.93542501,-10765974.277865881,14,True,0.9999994860518278,0.0,"[15925, 52765, 12126, 23987, 14587]"
gmm,5,2,3502,tied,0.13109647810204958,8116.5833656888035,2.310068894115216,-11129435.77592216,-11119949.118363032,7,True,1.0,0.0,"[56329, 40273, 13764, 6473, 2551]"
